Грузополучатель,Грузополучатель_адрес,reciever_lat,reciever_long
2773,"[54.3408, 73.2098]",54.3408,73.2098
8536,"[55.00907075000001, 73.29768400924007]",55.00907075000001,73.29768400924007
8782,"[55.3353049, 61.3115019]",55.3353049,61.3115019
23908,"[46.19232602727273, 5.996606054545454]",46.19232602727273,5.996606054545454
24446,"[43.3620656, 132.8319624]",43.3620656,132.8319624
27605,"[61.2412, 77.4858]",61.2412,77.4858
27645,"[55.00907075000001, 73.29768400924007]",55.00907075000001,73.29768400924007
37846,"[63.1667, 75.6167]",63.1667,75.6167
38819,"[59.9321, 30.1968]",59.9321,30.1968
39295,"[61.0042, 69.0019]",61.0042,69.0019
39463,"[59.9321, 30.1968]",59.9321,30.1968
39955,"[59.8944, 30.2642]",59.8944,30.2642
40873,"[59.9321, 30.1968]",59.9321,30.1968
44169,"[55.752, 37.615]",55.752,37.615
50105,"[52.2547942, 104.31817624339601]",52.2547942,104.31817624339601
50238,"[55.00907075000001, 73.29768400924007]",55.00907075000001,73.29768400924007
50630,"[66.8811, 79.4907]",66.8811,79.4907
50667,"[51.9704148, 55.1857471]",51.9704148,55.1857471
52800,"[56.635, 60.5817]",56.635,60.5817
55704,"[55.9606, 38.0456]",55.9606,38.0456
56893,"[63.1667, 75.6167]",63.1667,75.6167
57164,"[55.7522, 37.6156]",55.7522,37.6156
58378,"[34.9068226, 128.706920738721]",34.9068226,128.706920738721
58553,"[60.1256, 29.8764]",60.1256,29.8764
61730,"[59.9321, 30.1968]",59.9321,30.1968
73273,"[51.449, 57.0908]",51.449,57.0908
74160,"[53.2514, 40.2883]",53.2514,40.2883
76305,"[54.39, 71.88]",54.39,71.88
20000052,"[54.3408, 73.2098]",54.3408,73.2098
20000057,"[68.9717, 33.0819]",68.9717,33.0819
20000058,"[61.0042, 69.0019]",61.0042,69.0019
20000059,"[51.63514235, 59.340583648072084]",51.63514235,59.340583648072084
20000072,"[57.1, 65.76]",57.1,65.76
20000094,"[55.0411, 82.9344]",55.0411,82.9344
20000128,"[43.3620656, 132.8319624]",43.3620656,132.8319624
20000147,"[55.4353, 78.2667]",55.4353,78.2667
20000152,"[61.0042, 69.0019]",61.0042,69.0019
