Материал,Класс,Поставщики
1118280,G2170,"['23288', '94501', '75422', '94293']"
1121596,G210508,"['58857', '23288', '94293', '94501']"
1121640,G2160,"['87239', '42935', '74111']"
1121946,G210402,"['96318', '23472', '57650', '7166930275', '83996', '86060', '107737', '94293', '7166900936']"
1122953,G210402,"['107737', '83996']"
1122954,G210402,"['86060', '107737', '94293', '83996']"
1123189,G210513,['58691']
1123191,G210513,['58691']
1126513,G2107,"['39463', '61428']"
1126596,G210402,"['23472', '96624', '79691', '103684', '85794', '83996', '86060', '107737', '94293', '109587']"
1126597,G210402,"['96318', '23472', '73073', '51983', '58060', '94990', '94293', '83996', '86060', '107737', '94401', '109587']"
1126598,G210402,"['96318', '23472', '79691', '103684', '85794', '83996', '86060', '107737', '94293', '109587']"
1126600,G210402,"['96318', '23472', '83996', '86060', '107737', '94293', '109587']"
1126601,G210402,"['96318', '23472', '72164', '94767', '83996', '86060', '107737', '94293']"
1126602,G210402,"['96318', '23472', '79691', '103684', '85794', '83996', '86060', '107737', '94293', '109587']"
1127026,G210506,['50615']
1127960,G210502,"['65186', '73073', '64173']"
1129388,G21050104,"['104795', '104734', '47772', '94401', '104735']"
1130800,G21050101,"['99992', '57365', '48185', '9039', '81100', '111914', '99888', '64263']"
1131260,G21050102,['58691']
1131281,G2107,['58691']
1131293,G21050370,['69418']
1135116,G210511,"['7138603131', '7120000791', '7140700173', '7139404825']"
1135192,G210511,"['104795', '7130091442', '7166902059', '94990', '47772', '94401']"
1135512,G210511,"['58691', '72631', '76925', '47772', '94401']"
1135513,G210511,"['47772', '58691']"
1135514,G210511,"['47772', '58691', '72631', '94401']"
1135515,G210511,"['47772', '58691']"
1135523,G210513,"['47772', '58691']"
1135524,G210513,"['104795', '59541', '58691', '94990', '76925', '47772', '94401']"
1135525,G210513,"['59541', '76925', '47772', '58691']"
1135526,G210513,"['59541', '7175106400', '58691', '76925', '47772']"
1135996,G210502,"['59541', '58691', '52095', '61448', '76925', '47772', '103322']"
1136640,G210402,"['96318', '23472', '83996', '86060', '107737', '94293']"
1136643,G210402,"['73073', '72631', '94401']"
1136838,G210402,"['23472', '83996', '86060', '107737', '94293']"
1136839,G210402,"['23472', '83996', '86060', '107737', '94293']"
