Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
24446.0,770000994388,"Кабель ВВГ-Пнг(А)-LS 2х2,5-0,66",КМ,0.15,3,2021,1,2021-03-30,24446.0,113460.0,,11014329,30,2020-09-01,100000408117.0
57650.0,770000118261,"Кабель ВВГнг(А)-ХЛ 3х1,5ок(N,PE)-0,66",КМ,0.55,7,2021,2,2021-07-01,20000537.0,91370.27,Конкурентный отбор,11014549,2630,2020-09-02,100000416412.0
57650.0,770000685393,"Кабель К9РВСБПМнг(А)-HF 3х1,5ок(N,PE)-1",КМ,0.3,9,2021,2,2021-09-30,20000537.0,549355.12,Конкурентный отбор,11014549,3600,2020-09-02,100000444369.0
57650.0,770000852485,"Кабель К9РВСБПМнг(А)-HF 3х4ок(N,PE)-1",КМ,0.6,9,2021,2,2021-09-30,20000537.0,650768.05,Конкурентный отбор,11014549,3610,2020-09-02,100000444369.0
57650.0,770000340149,"Кабель К9РВСБПМнг(А)-HF 3х6ок(N,PE)-1",КМ,0.5,9,2021,2,2021-09-30,20000537.0,826074.61,Конкурентный отбор,11014549,3620,2020-09-02,100000444369.0
57650.0,770000996056,Кабель ИнСилРэпБПнг(А)-HF-ХЛ 4х16мк(N)-1,КМ,0.5,9,2021,2,2021-09-30,20000537.0,1841572.54,Конкурентный отбор,11014549,3640,2020-09-02,100000459945.0
57650.0,770000886501,"Кабель К9РВСБПМнг(А)-HF 5х1,5ок(N,PE)-1",КМ,0.1,9,2021,2,2021-09-30,20000537.0,1021600.9,Конкурентный отбор,11014549,3650,2020-09-02,100000444369.0
57650.0,770000873407,"КабельИнСилРэпБПнг(А)HF-ХЛ 5х25мкN,PE-1",КМ,0.2,9,2021,2,2021-09-30,20000537.0,3485905.34,Конкурентный отбор,11014549,3660,2020-09-02,100000459945.0
57650.0,770001085616,"Кабель К9РВСБПМнг(А)-HF 5х35мк(N,PE)-1",КМ,0.1,9,2021,2,2021-09-30,20000537.0,5111107.56,Конкурентный отбор,11014549,3670,2020-09-02,100000444369.0
57650.0,770000873413,"КабельИнСилРэпБПнг(А)HF-ХЛ 5х120мсN,PE-1",КМ,0.5,9,2021,2,2021-09-30,20000537.0,13345021.9,Конкурентный отбор,11014549,3680,2020-09-02,100000459945.0
57650.0,770000831667,"Кабель К9РВСБПМнг(А)-HF 4х1,5ок(N)-1",КМ,3.5,9,2021,2,2021-09-30,20000537.0,463336.7,Конкурентный отбор,11014549,3700,2020-09-02,100000444369.0
57650.0,770000852520,"Кабель К9РВСБПМнг(А)-HF 5х2,5ок(N,PE)-1",КМ,1.0,9,2021,2,2021-09-30,20000537.0,622898.36,Конкурентный отбор,11014549,3710,2020-09-02,100000444369.0
57650.0,770000657936,"Кабель К9РВСБПМнг(А)-HF 5х4ок(N,PE) 0,6/",КМ,0.5,9,2021,2,2021-09-30,20000537.0,874955.2,Конкурентный отбор,11014549,3720,2020-09-02,100000444369.0
57650.0,770000873417,"Кабель К9РВСБПМнг(А)-HF 4х2,5ок(N)-1",КМ,4.416,9,2021,2,2021-09-30,20000537.0,550865.15,Конкурентный отбор,11014549,3730,2020-09-02,100000444369.0
57650.0,770000728326,Кабель К9РВПМнг(А)-HF 4х10ок(N)-1,КМ,0.5,12,2021,2,2021-12-17,20000537.0,1277213.22,Конкурентный отбор,11014549,3830,2020-09-02,100000466332.0
57650.0,770000523703,Кабель К9РВСБПМнг(А)-HF 4х6ок(N)-1,КМ,0.35,12,2021,2,2021-12-17,20000537.0,1089468.11,Конкурентный отбор,11014549,3840,2020-09-02,100000466332.0
57650.0,770000407247,"Кабель ВВГнг(А) 3х1,5ок(N,PE)-0,66",КМ,0.55,7,2021,2,2021-07-01,20000537.0,90702.92,Конкурентный отбор,11014584,390,2020-09-02,100000416412.0
57650.0,770000859292,Наконечник ТМЛ 95-12-15,ШТ,12.0,12,2020,2,2020-12-31,20000570.0,86.81,Прочие закупки,11015299,220,2020-09-04,100000383207.0
57650.0,1154107,Кабель гибкий КГН 5х16,КМ,0.035,12,2020,2,2020-12-31,20000570.0,708355.36,Прочие закупки,11015299,230,2020-09-04,100000383207.0
57650.0,770000425378,Кабель гибкий КГН 5х10,КМ,0.495,12,2020,2,2020-12-31,20000570.0,470322.26,Прочие закупки,11015299,240,2020-09-04,100000383207.0
57650.0,770000804085,Кабель гибкий КГН 3х95+1х50,КМ,0.946,12,2020,2,2020-12-31,20000570.0,2487718.22,Прочие закупки,11015299,310,2020-09-04,100000383207.0
