Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
38632.0,770000027329,Кабель КВВГЭнг(А)-LS 10х1,КМ,0.5,4,2024,1,2024-04-02,20000187.0,1.2,,11484655,30,2023-07-03,100000747248.0
38632.0,770000448328,"Кабель ВБШвнг(А)-ХЛ 5х10ок(N,PE)-0,66",КМ,0.535,1,2024,1,2024-01-31,20000187.0,1537050.0,,11484659,60,2023-07-03,
38632.0,770000448328,"Кабель ВБШвнг(А)-ХЛ 5х10ок(N,PE)-0,66",КМ,0.4,1,2024,1,2024-01-31,20000187.0,1537050.0,,11484710,80,2023-07-03,
38632.0,770000951252,"Кабель ВВГнг(А) 4х25мк(PE)-0,66",КМ,0.53,1,2024,1,2024-01-31,20000187.0,3268105.2,,11484710,90,2023-07-03,
38632.0,770000832736,"Кабель ВВГнг(А)-FRLS 3х2,5ок(N,PE)-0,66",КМ,0.3,1,2024,1,2024-01-31,20000187.0,388252.8,,11484710,100,2023-07-03,
38632.0,770000448328,"Кабель ВБШвнг(А)-ХЛ 5х10ок(N,PE)-0,66",КМ,0.561,1,2024,1,2024-01-31,20000187.0,1537050.0,,11484711,50,2023-07-03,
38632.0,770000364454,"Кабель КВВГЭнг(А)-LS 7х2,5",КМ,1.048,4,2024,1,2024-04-02,20000187.0,639495.36,,11484715,100,2023-07-03,100000747248.0
38632.0,770000027221,"Кабель КВВГЭнг(А)-LS 7х1,5",КМ,1.056,4,2024,1,2024-04-02,20000187.0,404235.37,,11484715,110,2023-07-03,100000747248.0
38632.0,770000757378,"Кабель ВБШвнг(А)-LS 4х6-0,66",КМ,0.13,1,2024,1,2024-01-31,20000187.0,2537223.47,,11484718,90,2023-07-03,
38632.0,770000281580,"Кабель ВВГнг(A)-ХЛ 3х2,5ок-0,66",КМ,0.91,1,2024,1,2024-01-31,20000187.0,291152.35,,11484719,100,2023-07-03,
38632.0,770000439770,"Кабель ВВГнг(А)-ХЛ 5х6-0,66",КМ,0.75,1,2024,1,2024-01-31,20000187.0,1030884.8,,11484719,110,2023-07-03,
38632.0,770000007384,"Кабель ВВГнг 3х1,5-0,66",КМ,0.35,1,2024,1,2024-01-31,20000187.0,201695.48,,11484719,120,2023-07-03,
38632.0,770000520132,"Кабель гибкий КГ-ХЛ 4х6-0,66",КМ,0.78,1,2024,1,2024-01-31,20000187.0,893628.49,,11484719,130,2023-07-03,
38632.0,770001693033,Кабель СКАБ-СЭо660нгА)-FRHF-ХЛ 2х2х1 м1о,КМ,1.106,10,2024,2,2024-10-31,20000187.0,1075099.2,,11484732,110,2023-07-03,100000766925.0
38632.0,770001693135,Кабель ТОФЛЕКС КУПЭаПнг(А)-FRHF-ХЛ 4х2х1,КМ,0.52,10,2024,2,2024-10-31,20000187.0,1656943.2,,11484732,120,2023-07-03,100000766925.0
38632.0,770000055498,Кабель КВВГЭнг(А)-ХЛ 5х1,КМ,0.645,10,2024,2,2024-10-31,20000187.0,557076.0,,11484732,140,2023-07-03,100000767168.0
40194.0,770000294805,Кабель КВВГЭнг(А)-ХЛ 5х1,КМ,0.045,11,2023,2,2023-11-10,20000147.0,72249.6,Прочие закупки,11484826,20,2023-07-03,100000695732.0
64025.0,770000894416,Наконечник кольцевой 8-10,ШТ,50.0,2,2024,1,2024-02-29,20001550.0,1.2,,11484948,30,2023-07-03,
64025.0,770001756816,"Провод НМПнг(С)-HF-0,75-3-1000",КМ,0.35,4,2024,1,2024-04-10,20001550.0,1.2,,11484948,70,2023-07-03,100000746399.0
