Клиент,Материал,Краткий текст материала,ЕИ,Общее количество,Месяц поставки,Год поставки,Полугодие,Срок поставки,Грузополучатель,Цена,Способ закупки,№ заказа,№ позиции,Дата заказа,ID Лота
8536.0,770000115480,Кабель КУИНнг(А)-LS 2х2х1 ВЭ,КМ,1.78,12,2020,2,2020-12-26,8536.0,518453.6,Конкурентный отбор,10946866,90,2020-03-02,1
64025.0,770000852476,"Кабель К9РВПМнг(А)-HF 5х2,5ок(N,PE)-1",КМ,0.106,1,2021,1,2021-01-05,20001383.0,805561.87,Конкурентный отбор,10952399,600,2020-03-16,1
64025.0,770000851213,"Кабель К9РВПМнг(А)-HF 5х4ок(N,PE)-1",КМ,1.369,1,2021,1,2021-01-05,20001383.0,803309.2,Конкурентный отбор,10952399,610,2020-03-16,1
64025.0,770000852529,"Кабель К9РВСБПМнг(А)-HF 5х50мк(N,PE)-1",КМ,0.03,12,2020,2,2020-12-21,20001383.0,47968030.8,Конкурентный отбор,10952414,780,2020-03-16,1
64025.0,770000244012,Кабель К9РВПМнг(А)-HF 4х50мк(N)-1,КМ,0.03,1,2021,1,2021-01-05,20001383.0,38026579.8,Конкурентный отбор,10952414,790,2020-03-16,1
64025.0,770000831667,"Кабель К9РВСБПМнг(А)-HF 4х1,5ок(N)-1",КМ,9.52,1,2021,1,2021-01-05,20001383.0,585006.25,Конкурентный отбор,10952414,820,2020-03-16,1
64025.0,770000677830,"Кабель К9РВПМнг(А)-HF 3х2,5ок(N,PE)-1",КМ,0.825,1,2021,1,2021-01-05,20001383.0,397362.3,Конкурентный отбор,10952414,850,2020-03-16,1
8536.0,770000130276,Кабель КУИНнг(А)-LS 1х2х1 ВЭ,КМ,4.385,12,2020,2,2020-12-26,8536.0,317670.8,Конкурентный отбор,10946866,100,2020-03-02,2
59.0,1219157,Лента нагревательная 25НТР2-ВР,М,2400.0,11,2020,2,2020-11-30,20000221.0,1145.45,Конкурентный отбор,10948813,400,2020-03-04,2
42298.0,770000612327,Наконечник ТМ 6-5-4 TDM/SQ0532-0008,ШТ,50.0,12,2020,2,2020-12-15,20001640.0,490.1,Конкурентный отбор,10948885,850,2020-03-05,2
42298.0,770000612327,Наконечник ТМ 6-5-4 TDM/SQ0532-0008,ШТ,50.0,12,2020,2,2020-12-15,20001640.0,459.78,Конкурентный отбор,10948885,890,2020-03-05,2
42298.0,770000810402,Наконечник ТМЛ 6-6-4 ЗЭТА/zeta10616,ШТ,300.0,11,2020,2,2020-11-30,20001638.0,10.49,Конкурентный отбор,10949040,690,2020-03-05,2
24446.0,770000795670,Кабель КУМП-ОЭзнг(А)-LS 1х2х1,КМ,0.024,11,2020,2,2020-11-30,24446.0,340637.11,Конкурентный отбор,10949214,840,2020-03-05,2
24446.0,770000888211,Кабель КУМП-ОЭзнг(А)-LS 2х2х1,КМ,0.745,11,2020,2,2020-11-30,24446.0,202831.96,Конкурентный отбор,10949214,850,2020-03-05,2
24446.0,770000932581,Кабель КУМП-ОЭзнг(А)-LS 5х2х1,КМ,0.314,11,2020,2,2020-11-30,24446.0,376389.2,Конкурентный отбор,10949214,870,2020-03-05,2
24446.0,770000019427,"Кабель ВВГнг(А)-LS 5х120мс(N,PE)-1",КМ,0.088,11,2020,2,2020-11-30,24446.0,11107390.33,Конкурентный отбор,10949214,880,2020-03-05,2
24446.0,770000479857,Кабель ВВГнг(А)-LS 4х150мс(N)-1,КМ,0.256,11,2020,2,2020-11-30,24446.0,5986216.32,Конкурентный отбор,10949214,890,2020-03-05,2
24446.0,770000932585,Кабель ВВГнг(А)-LS 4х120мс(N)-1,КМ,0.12,11,2020,2,2020-11-30,24446.0,6669390.88,Конкурентный отбор,10949214,900,2020-03-05,2
24446.0,770000782936,Кабель ВБШвнг(А)-LS 4х150мс(N)-1,КМ,0.318,11,2020,2,2020-11-30,24446.0,6091067.66,Конкурентный отбор,10949214,910,2020-03-05,2
24446.0,770000782939,Кабель ВБШвнг(А)-LS 4х70мс(N)-1,КМ,0.17,11,2020,2,2020-11-30,24446.0,3096472.22,Конкурентный отбор,10949214,920,2020-03-05,2
24446.0,770000007173,Кабель ВБШвнг(А)-LS 4х25мк(N)-1,КМ,0.274,11,2020,2,2020-11-30,24446.0,1131924.79,Конкурентный отбор,10949214,930,2020-03-05,2
24446.0,770000300587,"Кабель КВБбШвнг(А)-LS 7х2,5",КМ,0.641,11,2020,2,2020-11-30,24446.0,225488.64,Конкурентный отбор,10949214,940,2020-03-05,2
24446.0,770000780579,"Кабель КВБбШвнг(А)-LS 4х2,5",КМ,0.104,11,2020,2,2020-11-30,24446.0,238495.69,Конкурентный отбор,10949214,950,2020-03-05,2
24446.0,770000779873,"Кабель КВБбШвнг(А)-LS 10х1,5",КМ,0.176,11,2020,2,2020-11-30,24446.0,269591.04,Конкурентный отбор,10949214,960,2020-03-05,2
24446.0,770000108555,"Кабель КВБбШвнг(А)-LS 4х1,5",КМ,0.641,11,2020,2,2020-11-30,24446.0,135067.32,Конкурентный отбор,10949214,970,2020-03-05,2
64025.0,770000875288,"КабельИнСилРэпБПнг(А)HF-ХЛ 5х6ок(N,PE-1",КМ,0.17,11,2020,2,2020-11-30,20001383.0,1200707.88,Конкурентный отбор,10952414,830,2020-03-16,2
64025.0,770000875300,"КабельИнСилРэпБПнг(А)HF-ХЛ 5х16мк(N,PE-1",КМ,3.845,11,2020,2,2020-11-30,20001383.0,2591436.07,Конкурентный отбор,10952414,860,2020-03-16,2
64025.0,770000873407,"КабельИнСилРэпБПнг(А)HF-ХЛ 5х25мкN,PE-1",КМ,0.21,11,2020,2,2020-11-30,20001383.0,3619982.56,Конкурентный отбор,10952414,870,2020-03-16,2
64025.0,770000717414,"Кабель К9РВСБПМнг(А)-HF 3х2,5ок(N,PE)-1",КМ,0.095,12,2020,2,2020-12-07,20001383.0,809830.4,Конкурентный отбор,10952414,880,2020-03-16,2
64025.0,770000827680,Кабель РЭПГнг(А)-HF-ХЛ 3х70/16-10 (HEPR),КМ,0.362,12,2020,2,2020-12-30,20001383.0,8944341.12,Конкурентный отбор,10952414,890,2020-03-16,2
