Материал,Класс,Поставщик,supp_lat,supp_long
770000818063,G2109,55019,56.8263,60.5388
770000594878,G2106,72148,56.4464,58.9183
770000831667,G21050101,44114,60.1256,29.8764
770000831667,G21050101,54948,55.7522,37.6156
770000869461,G210511,58691,56.8575,60.6125
770000869463,G210511,59541,56.5,84.9667
770000869463,G210511,44114,60.1256,29.8764
770000869463,G210511,58691,56.8575,60.6125
770000869463,G210511,61448,54.1833,45.1833
770000869463,G210511,69357,66.0833,76.6333
770000869463,G210511,47772,58.0,56.25
770000869464,G210511,27605,61.05,76.1
770000869464,G210511,58691,56.8575,60.6125
770000848016,G210511,44114,60.1256,29.8764
770000848016,G210511,58691,56.8575,60.6125
770000848016,G210511,27645,54.3408,73.2098
770000848016,G210511,69357,66.0833,76.6333
770000602743,G2106,72148,56.4464,58.9183
770000783346,G2106,72148,56.4464,58.9183
770000893542,G2106,72148,56.4464,58.9183
770000602735,G2106,72148,56.4464,58.9183
770000893672,G2106,61285,55.7522,37.6156
770000893671,G2106,61285,55.7522,37.6156
770000615280,G2106,72148,56.4464,58.9183
770000790216,G210502,76120,56.7992,59.9169
770000790216,G210502,83996,59.9321,30.1968
770000790226,G210502,52095,53.8664,34.4478
770000790226,G210502,76120,56.7992,59.9169
770000858935,G21050301,69418,55.7522,37.6156
770000858935,G21050301,73636,57.1522,65.5272
770000858935,G21050301,79691,58.0483,56.595
770000858935,G21050301,103684,56.8207,64.7718
770000858935,G21050301,83996,59.9321,30.1968
770000858935,G21050301,86060,55.7522,37.6156
770000858935,G21050301,94293,60.1256,29.8764
770000212168,G210502,76120,56.7992,59.9169
770000212168,G210502,83996,59.9321,30.1968
770000847347,G210502,59541,56.5,84.9667
770000790216,G210502,76120,56.7992,59.9169
770000790216,G210502,83996,59.9321,30.1968
770000337021,G210502,60519,55.752,37.615
770000337021,G210502,76120,56.7992,59.9169
770000790223,G210502,76120,56.7992,59.9169
770000607737,G2106,72148,56.4464,58.9183
770000607737,G2106,44114,60.1256,29.8764
770000607773,G2106,72148,56.4464,58.9183
770000607773,G2106,44114,60.1256,29.8764
770000607773,G2106,27645,54.3408,73.2098
770000862809,G2106,72148,56.4464,58.9183
770000534246,G2106,72148,56.4464,58.9183
770000534246,G2106,44114,60.1256,29.8764
770000607790,G2106,72148,56.4464,58.9183
770000607790,G2106,44114,60.1256,29.8764
770000606934,G2106,72148,56.4464,58.9183
